,Question,Answer,Label,rouge_score
0,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Chiếu cầu hiền ra đời trong hoàn cảnh đất nước như thế nào?
### Lựa chọn:
A: Khi triều đại Lê – Trịnh sụp đổ 
B: Khi Trịnh Sâm lên ngôi vua
C: Nguyễn Huệ lên ngôi vua 
D: [MASKED]","

**D: Khi Nguyễn Huệ lên ngôi vua** 

**Giải thích:**

* **Chiếu cầu hiền** là một trong những điều kiện quan trọng để Nguyễn Huệ lên ngôi vua. 
* **Nguyễn Huệ** là người đã lên ngôi vua vào năm 1788, sau khi triều đại Lê-Trịnh sụp đổ. 


 
",Khi triều đại Tây Sơn sụp đổ,0.1846153885126114
1,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Đáp án không thể hiện đúng thái độ của sĩ phu Bắc Hà:
### Lựa chọn:
A: Kẻ sĩ mai danh ẩn tích uổng phí tài năng 
B: Người ra làm quan thì giữ mình không dám nói thẳng
C: [MASKED] 
D: Nhiều người ngưỡng mộ tài năng của vua Quang Trung đã ra tiến cử","

**C:  ** **""Kẻ sĩ mai danh ẩn tích uổng phí tài năng""** 

**Giải thích:**

Câu trả lời A, B, D đều có ý nghĩa về thái độ của sĩ phu Bắc Hà. 

* **A: Kẻ sĩ mai danh ẩn tích uổng phí tài năng:**  Đây là một câu nói về sự lãng phí tài năng của những người sĩ phu Bắc Hà. 
* **B: Người ra làm",Nhiều người có tài năng còn chưa chịu ra giúp nước,0.10256410390138626
2,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Nội dung của đoạn trích “Một thời đại trong thi ca” bàn đến vấn đề gì?
### Lựa chọn:
A: [MASKED] 
B: Tinh thần Thơ mới
C: Chủ nghĩa hiện thực Việt Nam. 
D: Quan điểm nghệ thuật vị nhân sinh","**B: Tinh thần Thơ mới** 

**Giải thích:**

* **""Một thời đại trong thi ca""** là một đoạn trích viết về một thời đại trong thi ca. 
* **Tinh thần Thơ mới** là một khái niệm chính xác mô tả tâm tư, phong cách và ý nghĩa của thi ca trong thời đại đó. 


Các lựa chọn khác không phù hợp:

* **C: Chủ nghĩa hiện thực Việt Nam:** Chủ",Các tác phẩm thuộc phong trào Thơ mới.,0.07792207598686218
3,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Hồn thơ “hùng tráng”, Hoài Thanh dùng chỉ nhà thơ nào trong bài viết “Một thời đại trong thi ca”?
### Lựa chọn:
A: [MASKED] 
B: Nguyễn Bính
C: Huy Thông 
D: Nguyễn Nhược Pháp","

**Hồn thơ “hùng tráng”, Hoài Thanh dùng chỉ nhà thơ nào trong bài viết “Một thời đại trong thi ca”?**

**Đáp án: C**

**Giải thích:**

* **Hoài Thanh** là nhà thơ nổi tiếng của Việt Nam, được biết đến với phong cách thơ hùng tráng, đầy sức sống. 
* Bài viết ""Một thời đại trong thi ca"" của Hoài Thanh, trong đó, nhà thơ đã sử",Lưu Trọng Lư,0.0
4,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Hồn thơ “kì dị"", Hoài Thanh dùng chỉ nhà thơ nào trong bài viết “Một thời đại trong thi ca”
### Lựa chọn:
A: Xuân Diệu 
B: [MASKED]
C: Chế Lan Viên 
D: Hàn Mặc Tử","

**B:  ** **Hoài Thanh** 

**Giải thích:**

* Bài viết ""Một thời đại trong thi ca"" là một bài viết của nhà thơ Hoài Thanh. 
* Hoài Thanh là nhà thơ nổi tiếng Việt Nam, được biết đến với phong cách thơ ca, giàu tính chất trữ tình. 


 
",Huy Cận,0.0
5,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Đoạn trích “Tôi có một ước mơ” được viết theo phương thức nào?
### Lựa chọn:
A: Nghị luận 
B: Tự sự
C: Biểu cảm 
D: [MASKED]","**C: Biểu cảm** 

**Giải thích:**

* **Nghị luận:**  Là loại văn bản luận cứ, đưa ra lập luận, phân tích, giải thích. 
* **Tự sự:** Là loại văn bản kể về một sự kiện cụ thể, theo trình tự thời gian.
* **Biểu cảm:** Là loại văn bản thể hiện cảm xúc, suy nghĩ, tình cảm của người viết. 

Đoạn trích ""Tôi",Chính luận,0.0317460335791111
6,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Hồn thơ “quê mùa”, Hoài Thanh dùng chỉ nhà thơ nào trong bài viết “Một thời đại trong thi ca”
### Lựa chọn:
A: [MASKED] 
B: Nguyễn Bính
C: Lưu Trọng Lư 
D: Tố Hữu","

**Hồn thơ “quê mùa”, Hoài Thanh dùng chỉ nhà thơ nào trong bài viết “Một thời đại trong thi ca”**

**Đáp án:** **D: Tố Hữu** 

**Giải thích:**

* Bài viết ""Một thời đại trong thi ca"" của Hoài Thanh là một bài viết về sự phát triển của thi ca Việt Nam. 
* Trong bài viết, Hoài Thanh đã đề cập đến các nhà thơ nổi tiếng",Nguyễn Nhược Pháp,0.0
7,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Hồn thơ “trong sáng”, Hoài Thanh dùng chỉ nhà thơ nào trong bài viết “Một thời đại trong thi ca”?
### Lựa chọn:
A: [MASKED] 
B: Lưu Trọng Lư
C: Nguyễn Nhược Pháp 
D: Nguyễn Bính","

**Hồn thơ “trong sáng”, Hoài Thanh dùng chỉ nhà thơ nào trong bài viết “Một thời đại trong thi ca”?**

**Đáp án: D**

**Giải thích:**

* **Hoài Thanh** là nhà thơ nổi tiếng của Việt Nam, được biết đến với phong cách thơ ""trong sáng"" và ""đầy sức sống"". 
* Bài viết ""Một thời đại trong thi ca"" của Hoài Thanh đã đề cập đến những",Thế Lữ,0.0
8,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Trong “Một thời đại thi ca”, Hoài Thanh viết: “Đời chúng ta nằm trong một chữ tôi. Mất bề rộng ta đi tìm bề sâu. Nhưng càng đi càng ớn lạnh”.  là nhận định của Hoài Thanh về hồn thơ của các nhà “Thơ mới” ở giai đoạn thoái trào. Cụm từ “nhưng động tiên đã khép”, ông chỉ nhà thơ nào?
### Lựa chọn:
A: Thế Lữ 
B: Xuân Diệu
C: Lưu Trọng Lư 
D: [MASKED]","**B: Xuân Diệu**

**Giải thích:**

* **Cụm từ ""nhưng động tiên đã khép""** trong đoạn văn của Hoài Thanh thể hiện sự hoài nghi, bất lực của nhà thơ trong giai đoạn thoái trào. 
* **Xuân Diệu** là nhà thơ thuộc thế hệ ""Thơ mới"" nổi tiếng với những bài thơ mang tính chất tự sự, tâm tư, và nhiều khi có phần bất lực,",Hàn Mặc Tử,0.0
9,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: “Cầu hiền” ở đây hướng tới đối tượng nào?
### Lựa chọn:
A: [MASKED] 
B: Người có tài
C: Người có đức 
D: Người có đức và tài","**Cầu hiền**  là một câu nói về **người có đức**. 

**Câu trả lời chính xác là C.** 

**Giải thích:**

* **Cầu hiền** là một câu nói về một người có đức tính tốt, có lòng hiền lành, có lòng nhân ái. 
* **Người có đức** là một khái niệm chung, không phải là một đối tượng cụ thể. 


 
",Người ăn ở hiền lành,0.08955223858356476
10,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Tác giả của đoạn trích “Tôi có một ước mơ” là ai?
### Lựa chọn:
A: Aleksandr Sergeyevich Pushkin 
B: Mác –tin Lu-thơ Kinh
C: Rabindranath Tagore 
D: [MASKED]","**D:  ** **Rabindranath Tagore** 

**Giải thích:**

* **Rabindranath Tagore** là tác giả của đoạn trích ""Tôi có một ước mơ"". 
* Các tác giả khác trong danh sách có thể được tìm thấy trong các tác phẩm khác. 


",Vic-to Huy-gô,0.0
11,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Câu văn “Người hiền xuất hiện ở đời, thì như ngôi sao sáng trên trời cao” nói lên nội dung gì?
### Lựa chọn:
A: Nhân tài Bắc Hà nhiều như sao trên trời. 
B: [MASKED]
C: Người hiền ở Bắc Hà rất hiếm có 
D: So sánh người hiền tài như vì sao tinh tú. Đề cao vị trí, vai trò của người hiền tài.","

**B: Người hiền xuất hiện ở đời, thì như ngôi sao sáng trên trời** 

**Giải thích:**

Câu văn ""Người hiền xuất hiện ở đời, thì như ngôi sao sáng trên trời"" là một câu nói về sự hiếm hoi, quý giá của người hiền.  Ngôi sao sáng trên trời cao tượng trưng cho sự hiếm hoi, quý giá,  và cũng thể hiện sự xuất hiện của người hiền tài. ",Người hiền theo Quang Trung rất nhiều như sao trời,0.11627907305955887
12,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Đoạn trích “Tôi có một ước mơ” nằm trong:
### Lựa chọn:
A: Ăn sáng với kim cương 
B: Người đàn ông của chúng tôi ở Havana
C: Bước đến tự do, Câu chuyện Mon-ga-mo- ri- Montgomery 
D: [MASKED]","**C: Bước đến tự do, Câu chuyện Mon-ga-mo-ri-Montgomery** 

Câu chuyện ""Tôi có một ước mơ"" là một phần của câu chuyện ""Bước đến tự do, Câu chuyện Mon-ga-mo-ri-Montgomery"" 
","Một con gấu tên là Paddington, với hình minh họa của Peggy Fortnum",0.07407407462596893
13,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Nữ phóng viên đầu tiên là viết về ai?
### Lựa chọn:
A: Manh Manh nữ sĩ 
B: Nguyễn Thị Bình
C: [MASKED] 
D: Hồ Xuân Hương","

**C: Nguyễn Thị Bình** 

**Giải thích:**

* **Nguyễn Thị Bình** là nữ phóng viên đầu tiên được ghi nhận trong lịch sử Việt Nam. 

Cả A, B và D đều sai. 
",Trương Mỹ Hoa,0.0
14,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Bà Kiêm bắt đầu trở nên nổi tiếng khi:
### Lựa chọn:
A: Nổi tiếng về những bài diễn thuyết, những bài viết về bình đẳng giới và thơ mới 
B: Viết thơ
C: Viết bài ủng hộ thơ mới 
D: [MASKED]","user
Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Bà Kiêm bắt đầu trở nên nổi tiếng khi:
### Lựa chọn:
A: Nổi tiếng về những bài diễn thuyết, những bài viết về bình đẳng giới và thơ mới 
B: Viết thơ
C: Viết bài ủng hộ thơ mới 
D: [MASKED]
model
Nội dung của lựa chọn D là:

**D:  ** **Bà Kiêm bắt đầu trở nên nổi tiếng khi viết thơ** 

**Giải thích:**

* Bà Kiêm nổi tiếng với sự nghiệp viết thơ. 
* Bài viết về bình đẳng giới và thơ mới là một phần của sự nghiệp văn học của bà. 


 
",Viết kí,0.0
15,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Sở trường của bà Kiêm là gì?
### Lựa chọn:
A: [MASKED] 
B: Diễn thuyết
C: Phỏng vấn 
D: Phê bình","

**Sở trường của bà Kiêm là gì?**

**Câu trả lời:**  **B: Diễn thuyết** 

**Giải thích:** 

* **Diễn thuyết** là một trong những sở trường của bà Kiêm. 

**Lưu ý:** 

* **Phỏng vấn** là một kỹ năng được sử dụng trong các cuộc phỏng vấn, không phải là sở trường của bà Kiêm.
* **Phê bình** là",Thơ,0.0
16,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Tại kì Pa-ra-lim-pích Tô-ky-ô 2020 vận động viên xuất sắc nhất là:
### Lựa chọn:
A: [MASKED] 
B: Henry
C: Hanry 
D: Xnai – đơ","**""Henry""**

**Câu hỏi:** Tại kì Pa-ra-lim-pích Tô-ky-ô 2020 vận động viên xuất sắc nhất là:

**Đáp án:**  **A:  ** **H**enry 

**Giải thích:** 

* **Henry** là tên của một vận động viên nổi tiếng trong môn thể thao. 
* **Pa-ra-lim-pích Tô-ky-ô ",Van Gát,0.0
