predict,label,score,Subject,retained
Cảnh báo hoặc ngăn chặn A để tránh tiếp tục hành động tiêu cực.,Cùng với A đánh B cho vui.,0.0952380952380952,civic_education,True
Liên hệ với cơ quan chức năng hoặc người có trách nhiệm để báo cáo và yêu cầu hỗ trợ.,Đèo em bé đó đến gặp công an.,0.0,civic_education,True
"Người có tính cách linh hoạt, dễ thích nghi.]",Không tôn trọng lẽ phải.,0.0,civic_education,True
"Làm giàu bằng chính sức lực, tài năng của mình]","Nhiệt tình giúp đỡ mọi người mà không tính toán, không vụ lợi",0.0,civic_education,True
Liêm chính.,Khiêm tốn.,0.0,civic_education,True
Sang nhà hàng xóm và đề nghị họ tắt nhạc hoặc giảm âm lượng để cho mọi người có thể nghỉ ngơi.,Sang đánh nhà hàng xóm.,0.2962962962962963,civic_education,True
"Lờ đi, không quan tâm đến người khác khi họ đang nói hoặc cần giúp đỡ.",Tự nhận lỗi về mình,0.0,civic_education,True
"Cười người hôm trước, hôm sau người cười",Lời nói không mất tiền mua,0.0,civic_education,True
Lòng không trung thực.,Lòng vị tha.,0.2857142857142857,civic_education,True
Giữ chữ tín],Liêm khiết.,0.0,civic_education,True
Pháp tục.,Công bằng.,0.0,civic_education,True
"Giúp mọi người nhận biết được những hành động đúng và sai, từ đó tự điều chỉnh và hoàn thiện bản thân.",Giúp cho mọi người tôn trọng nhau hơn.,0.1999999999999999,civic_education,False
"Lời nói dễ vỡ, việc làm dễ chìm",Phép vua thua lệ làng,0.0,civic_education,True
"Giúp cho con người phát triển nhân cách, xây dựng nhân cách tốt đẹp, trở thành người tốt, người có ích cho xã hội.",Giúp cho mọi người gần nhau hơn.,0.1935483870967741,civic_education,False
Tình đoàn kết.,Tình đồng chí.,0.3333333333333333,civic_education,True
"Tôn trọng, giúp đỡ và chia sẻ với nhau.",Phù hợp với nhau về quan niệm sống.,0.2352941176470588,civic_education,True
Tình bạn chỉ có thể có giữa những người có cùng giới tính.,Bạn bè phải biết bảo vệ nhau trong mọi trường hợp.,0.0833333333333333,civic_education,False
"Cảnh báo hoặc báo cho thầy cô về hành động vi phạm của bạn E, vì hành động này có thể ảnh hưởng đến kết quả kiểm tra và uy tín của cả lớp.",Nói với cô giáo để bạn bị phạt.,0.0952380952380952,civic_education,True
Gia đình bà E không quan tâm đến các hoạt động cộng đồng.,Gia đình bà E tích cực tham gia các hoạt động chính trị - xã hội.,0.5,civic_education,True
"Cơ quan, tổ chức của Nhà nước]",Nhà nước.,0.4444444444444445,civic_education,True
Gây ra những hậu quả tiêu cực cho cộng đồng và xã hội.,"Rối loạn trật tự xã hội, suy thoái giống nòi dân tộc.",0.16,civic_education,True
"Tội phạm, tội ác, tội phạm hình sự, tội phạm về ma túy, mại dâm, xâm hại tình dục, tội phạm về tham nhũng, tội phạm về buôn bán người, tội phạm về tội phạm mạng, tội phạm về tội phạm về môi trường, tội phạm về tội phạm về an ninh quốc gia]","Xâm hại tình dục trẻ em, trộm cắp, lừa đảo.",0.125,civic_education,True
Tội phạm xã hội.,Vi phạm quy chế.,0.25,civic_education,True
Cảnh cáo.,Cảnh cáo.,1.0,civic_education,True
Trả tự do.,Phạt tù.,0.0,civic_education,True
"Ngay sau khi tiếp xúc với dịch tiết (máu, nước bọt, dịch tiết sinh dục,...) của người nhiễm HIV/AIDS.",1 tuần.,0.0,civic_education,True
HTLV (Human T-lymphotropic virus),Cúm gà.,0.0,civic_education,True
"Ở nhiều người, HIV/AIDS không có triệu chứng rõ ràng ban đầu, nhưng sau đó có thể xuất hiện các triệu chứng như ỉa chảy kéo dài trên 1 tháng, sốt kéo dài trên 1 tháng.]",Sút cân trên 10% trọng lượng cơ thể.,0.0454545454545454,civic_education,True
"Hình thành các vết thương, tiếp xúc với dịch cơ thể người nhiễm HIV]","Muỗi, côn trùng chích hút máu người nhiễm HIV rồi chích sang người lành",0.2142857142857142,civic_education,True
"Làm việc, học tập, sinh hoạt an toàn, tránh các hành vi có nguy cơ lây truyền HIV/AIDS như sử dụng ma túy, quan hệ tình dục không an toàn, sử dụng các chất độc hại khác.]",Tuyên truyền tới mọi người tác hại của ma túy để mọi người phòng chống.,0.1153846153846153,civic_education,True
Các doanh nghiệp được phép theo quy định của pháp luật.,Cá nhân.,0.0,civic_education,True
Ngày 4 tháng 10,Ngày 14 tháng 10,0.75,civic_education,False
"Không đeo bảo hộ lao động khi làm việc trong môi trường có nguy cơ cháy, nổ hoặc tiếp xúc với chất độc hại.",Dùng dao để đánh nhau.,0.0,civic_education,True
